ID mcount fcount Father_age Mother_age
5116 9 50 31 21
50382 13 41 26 28
50375 9 32 23 22
50034 26 53 30 30
49640 10 46 24 20
49333 13 55 24 21
48340 8 51 28 26
48073 8 63 31 21
47492 13 68 30 29
47320 9 44 33 31
46877 6 36 25 21
46411 18 40 27 29
46025 11 40 21 23
45976 14 44 29 27
45739 10 49 27 27
44982 12 72 34 26
44178 7 54 30 23
4131 17 39 26 23
40959 8 62 35 30
40908 22 47 29 22
40768 10 69 45 38
39729 15 32 25 18
39503 12 73 36 30
37789 3 17 19 19
37654 13 33 25 30
37653 15 54 30 23
3723 9 61 32 30
37122 6 69 36 32
36736 11 44 22 21
36485 7 44 32 19
36430 16 25 35 26
36195 6 44 32 29
36080 17 47 33 33
3578 5 36 23 20
35677 18 56 36 28
35505 16 84 49 37
35452 9 43 26 22
35417 12 30 22 21
34744 13 47 23 23
34697 14 36 23 22
3450 11 42 25 22
34318 9 47 35 32
34291 21 58 42 40
34136 11 60 47 40
33816 16 40 35 35
33711 14 44 33 26
32514 26 74 40 31
3212 7 43 23 19
31985 12 41 23 19
3190 11 40 35 25
31830 7 47 25 22
30554 13 58 39 33
30371 15 53 32 30
30366 17 77 35 30
29874 28 74 40 33
29678 11 27 21 21
29485 13 41 24 23
29374 12 56 39 36
29195 21 59 41 37
28795 17 53 26 26
27915 15 55 25 25
27281 6 36 25 23
26864 4 46 34 30
26618 16 68 38 38
26568 8 46 34 29
26268 11 49 35 29
25400 8 64 28 19
24771 12 40 29 21
24464 7 66 30 26
24108 8 43 30 30
24034 20 53 37 41
23930 9 62 40 30
23731 19 53 29 39
23077 7 38 25 22
23060 7 42 21 19
22996 7 35 18 20
22968 6 47 22 19
22818 21 86 43 39
2280 9 63 38 20
22442 12 45 35 26
21762 11 50 32 24
21720 8 32 22 17
21286 21 64 34 33
20544 18 61 26 27
20532 11 52 27 29
20287 16 38 23 22
20240 22 78 47 42
19715 9 40 27 25
18689 12 50 30 23
18230 24 53 34 26
1806 11 61 38 34
17904 18 60 34 35
17885 11 37 27 22
16872 11 42 26 22
15789 13 32 20 21
15690 11 46 26 21
15660 12 79 51 43
154936 16 36 30 34
154810 14 55 32 28
154621 11 39 19 18
154565 14 61 36 30
153657 8 41 27 23
153094 16 83 54 41
15247 11 61 36 36
151909 8 35 21 17
151566 18 58 29 29
150946 18 66 43 33
14991 28 42 21 21
149434 11 59 40 24
148940 14 39 23 24
148486 12 45 34 27
148163 8 56 26 30
1481 14 53 32 20
148052 8 51 28 26
146476 13 54 36 32
146353 16 75 36 36
145973 8 34 23 19
145908 14 59 30 30
14522 12 45 26 23
144769 13 49 22 19
143440 16 38 21 23
143074 19 62 40 24
143069 9 47 26 31
142988 29 69 30 35
142888 20 54 36 26
142096 11 55 27 25
142033 19 84 53 43
141757 10 52 27 26
141749 18 41 24 19
141502 18 38 21 22
141468 14 48 35 28
141345 16 61 38 31
141237 24 64 34 36
141173 18 54 29 23
141153 9 65 30 28
13990 7 25 16 17
139667 15 57 36 33
139512 11 48 37 32
139342 16 41 24 23
13841 4 38 19 18
138408 19 56 37 26
137878 4 42 29 22
137443 14 83 52 37
137081 10 59 30 25
136354 12 49 24 22
136238 8 57 30 26
136092 10 58 32 29
135652 12 63 37 23
135450 13 40 28 23
13542 8 59 28 30
134903 17 54 35 29
134690 14 54 35 35
134503 11 53 26 26
134433 14 70 29 31
133493 8 40 26 27
133117 19 39 27 22
132716 13 41 23 22
132388 10 43 23 20
132315 6 41 23 22
13191 31 78 44 37
131854 7 48 31 19
130811 11 38 21 28
130799 8 50 33 23
130739 10 44 24 18
130728 11 45 36 28
130614 3 43 27 20
130461 8 37 20 23
130437 14 54 27 27
130319 10 63 23 20
129865 13 51 30 25
129752 15 57 20 19
128636 8 62 27 21
128158 8 54 21 19
127678 12 38 25 23
127416 10 46 30 20
12646 15 65 31 28
126045 26 68 52 40
125046 24 38 22 20
124887 6 65 37 35
124800 12 60 41 31
124437 10 33 20 19
124112 13 43 23 28
123888 10 53 36 27
123466 4 46 27 21
1230 12 42 30 28
122976 14 42 29 27
122411 10 49 32 30
121650 13 37 21 19
121649 12 34 24 23
121496 11 47 24 24
121115 10 64 31 22
121087 1 36 18 17
120711 13 51 27 24
120516 25 54 36 40
120192 13 50 27 21
120117 13 34 26 23
119874 9 39 21 21
119719 17 67 38 34
119700 15 44 30 29
119476 6 52 22 21
119265 14 42 24 23
117628 4 40 26 24
117473 18 52 34 31
117154 10 53 38 31
117135 11 57 36 24
116676 8 40 31 27
116651 14 47 32 30
116498 8 50 27 23
116078 9 46 31 31
115299 10 63 38 34
115094 6 34 20 18
114950 7 53 21 23
114509 12 64 32 28
114364 13 56 33 28
114170 14 78 37 28
114111 14 61 35 27
114094 22 98 51 44
114042 13 28 26 24
113829 3 41 25 23
113248 16 43 21 26
113149 7 38 22 21
112917 32 76 42 41
112510 16 55 30 28
112236 14 65 41 34
111782 9 38 21 21
111528 15 43 24 22
111288 21 93 53 44
111214 12 46 29 26
11120 14 68 32 32
110977 22 67 48 36
110795 11 58 38 26
110669 8 53 27 22
110516 28 59 26 28
1097 12 26 19 19
109597 15 67 50 45
109551 8 45 30 22
109382 7 35 22 21
109291 13 58 25 25
109047 13 45 26 22
108663 14 40 27 24
108593 6 50 21 18
107328 8 77 55 31
107187 15 50 35 33
10676 17 42 22 22
106703 4 34 23 23
106140 12 53 21 22
106024 8 39 25 21
105780 15 64 38 30
105768 18 43 32 22
105754 11 67 36 33
104665 18 42 24 22
104596 12 42 22 20
104502 11 57 29 22
104333 15 46 37 34
103818 17 45 20 22
102727 14 77 39 32
102313 28 55 30 35
102060 8 53 25 22
101332 30 55 37 33
101199 16 70 29 30
100770 12 72 41 33
